Year,Album,Artist,Song,F*ck,Sh*t,B*tch,P*ssy,Ho€,N-Word,D*ck,C*ck,Homophobic,G-Damn,Skeet,Tits,C*nt,Ass,Total
1986,Raising Hell,Run DMC,Peter Piper,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
1986,Raising Hell,Run DMC,Hit It Run,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1986,Raising Hell,Run DMC,It's Tricky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Raising Hell,Run DMC,My Adidas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Raising Hell,Run DMC,Walk This Way,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Raising Hell,Run DMC,Is It Live,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Raising Hell,Run DMC,Perfection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Raising Hell,Run DMC,Raising Hell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Raising Hell,Run DMC,You Be Illin',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Raising Hell,Run DMC,Dumb Girl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Raising Hell,Run DMC,Son of Byford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Born To Mack,Too $hort,dope fiend beat,6,3,35,0,4,2,5,0,0,1,0,0,0,1,57
1986,Born To Mack,Too $hort,Playboy Short 2,6,2,10,1,6,0,2,0,0,0,0,0,0,2,29
1986,Born To Mack,Too $hort,freaky tales,0,3,2,2,2,0,2,0,0,0,0,0,0,2,13
1986,Born To Mack,Too $hort,Little girls,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
1986,Born To Mack,Too $hort,You know what I mean,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1986,Born To Mack,Too $hort,Partytime,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1986,Born To Mack,Too $hort,mack attack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,Criminal Minded,Boogie Down,The Broidge IS over,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3
1987,Criminal Minded,Boogie Down,Super Hoe Lyrics,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1987,Criminal Minded,Boogie Down,Criminal Minded,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1987,Criminal Minded,Boogie Down,Poetry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,Criminal Minded,Boogie Down,South Bronx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,Criminal Minded,Boogie Down,9mm Goes Bang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,Criminal Minded,Boogie Down,Word From Our Sponsor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,Criminal Minded,Boogie Down,Elementary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,Criminal Minded,Boogie Down,Dope Beat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,Criminal Minded,Boogie Down,Remix For P Is Free,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,With Fame,Dana Dane,Nightmares,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1987,With Fame,Dana Dane,Cinderfella dana Dane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,With Fame,Dana Dane,Delancey Street,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,With Fame,Dana Dane,We Wanna Party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,With Fame,Dana Dane,Love at first sight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,BAD Bigger and Deff,LL Cool J,the breakthrough,2,1,0,0,0,0,0,0,0,0,0,0,0,1,4
1987,BAD Bigger and Deff,LL Cool J,get down,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3
1987,BAD Bigger and Deff,LL Cool J,my rhyme ain't done,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1987,BAD Bigger and Deff,LL Cool J,I'm bad,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1987,BAD Bigger and Deff,LL Cool J,.357 break it on down,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1987,BAD Bigger and Deff,LL Cool J,kanday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,BAD Bigger and Deff,LL Cool J,the bristol hotel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,BAD Bigger and Deff,LL Cool J,go cut creator go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,BAD Bigger and Deff,LL Cool J,I need love,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,BAD Bigger and Deff,LL Cool J,ahh. Let's get ill ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,BAD Bigger and Deff,LL Cool J,the do wop ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,NWA & The Posse,NWA,A Bitch iz a Bitch,16,4,34,0,1,5,0,0,0,1,0,0,0,6,67
1987,NWA & The Posse,NWA,Dopeman,13,5,9,1,3,6,5,0,0,0,0,0,0,4,46
1987,NWA & The Posse,NWA,8 Ball,9,4,4,0,2,3,2,0,0,1,0,0,0,4,29
1987,NWA & The Posse,NWA,Tuffest Man Alive,7,6,2,0,2,2,0,0,0,1,0,0,0,2,22
1987,NWA & The Posse,NWA,3 The Hard Way,2,5,6,0,0,0,0,0,0,0,0,0,0,3,16
1987,NWA & The Posse,NWA,Boys-N-The Hood,0,6,3,0,1,0,0,0,0,0,0,0,0,1,11
1987,NWA & The Posse,NWA,Drink it Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,NWA & The Posse,NWA,Panic Zone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,NWA & The Posse,NWA,LA Is The Place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,NWA & The Posse,NWA,Fat Girl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,Yo! Bum Rush The,Public Enemy,Sophisticated Bitch,1,0,6,0,0,0,0,0,0,1,0,0,0,2,10
1987,Yo! Bum Rush The,Public Enemy,Yo! Bumrush the show,1,0,1,0,0,0,0,0,0,1,0,0,0,3,6
1987,Yo! Bum Rush The,Public Enemy,too much posse,1,1,0,0,0,0,0,0,0,0,0,0,0,2,4
1987,Yo! Bum Rush The,Public Enemy,raise the roof,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1987,Yo! Bum Rush The,Public Enemy,righstarter,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1987,Yo! Bum Rush The,Public Enemy,megablast,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1987,Yo! Bum Rush The,Public Enemy,You're gonna get yours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,Yo! Bum Rush The,Public Enemy,Miuzi Weighs a ton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,Yo! Bum Rush The,Public Enemy,timebomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,Yo! Bum Rush The,Public Enemy,publick enemey no 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,Yo! Bum Rush The,Public Enemy,MPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,Yo! Bum Rush The,Public Enemy,terminator x speaks with his hands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,By All Means Necessary,Boogie Down,Ya Slippin,3,2,0,0,0,0,1,0,0,1,0,0,0,2,9
1988,By All Means Necessary,Boogie Down,Jimmy,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
1988,By All Means Necessary,Boogie Down,T'Cha,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1988,By All Means Necessary,Boogie Down,My Philosophy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,By All Means Necessary,Boogie Down,Stop the violence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,By All Means Necessary,Boogie Down,Illegal Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,By All Means Necessary,Boogie Down,Nervous Lyrics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,By All Means Necessary,Boogie Down,I'm Still #1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,By All Means Necessary,Boogie Down,Part Time Sucker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,By All Means Necessary,Boogie Down,Necessary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,Eazy-Duz-It,Eazy-E,2 Hard Mutha's,40,11,4,1,0,7,1,0,0,2,0,0,0,2,68
1988,Eazy-Duz-It,Eazy-E,Still Talkin',16,9,10,4,5,4,5,0,0,1,0,0,0,1,55
1988,Eazy-Duz-It,Eazy-E,Nobody Move,15,1,7,1,1,4,2,0,1,0,0,1,0,7,40
1988,Eazy-Duz-It,Eazy-E,Ruthless Villain,14,13,1,0,1,5,0,0,0,0,0,0,0,2,36
1988,Eazy-Duz-It,Eazy-E,Boyz-N-The-Hood,2,12,5,0,3,1,0,0,0,0,0,0,0,2,25
1988,Eazy-Duz-It,Eazy-E,Eazy-Duz-It,0,5,10,0,1,4,0,0,0,0,0,0,0,3,23
1988,Eazy-Duz-It,Eazy-E,Eazy-Chapter 8 Verse 10 (B.U.L.L.S.H.I.T.),4,1,0,0,0,3,0,0,0,0,0,0,0,0,8
1988,Eazy-Duz-It,Eazy-E,No More ?'s,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1988,Eazy-Duz-It,Eazy-E,I'mma Break it Down,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1988,Eazy-Duz-It,Eazy-E,We Want Eazy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,Eazy-Duz-It,Eazy-E,Eazy-Er Said Then Dunn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,Eazy-Duz-It,Eazy-E,Radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,Strait Outta Compton,NWA,fuck the police,41,10,0,0,0,10,0,0,1,3,0,0,0,11,76
1988,Strait Outta Compton,NWA,gangsta gangsta,29,4,6,1,0,14,0,0,0,0,0,0,0,7,61
1988,Strait Outta Compton,NWA,comptons n the house,30,10,0,0,0,3,0,0,0,0,0,0,0,4,47
1988,Strait Outta Compton,NWA,strait outta compton,21,2,4,2,0,7,0,0,0,0,0,0,0,6,42
1988,Strait Outta Compton,NWA,dopeman,12,6,9,1,3,0,5,0,0,0,0,0,0,4,40
1988,Strait Outta Compton,NWA,8 ball,10,6,7,0,2,3,2,0,0,0,0,0,0,9,39
1988,Strait Outta Compton,NWA,something like that,11,11,3,0,0,1,1,0,0,0,0,0,0,1,28
1988,Strait Outta Compton,NWA,parental discretion iz advised,13,1,1,0,0,1,2,0,0,0,0,0,0,2,20
