,Year,Album,Artist,Song,F*ck,Sh*t,B*tch,P*ssy,Ho,N-Word,D*ck,C*ck,Homophobic,G-Damn,Skeet,Tits,C*nt,Ass,Total,City,State
40,1986,Planet Rock,Afrika Bambaataa,Frantic Situation,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,The Bronx,New York
41,1986,Licensed to Ill,Beastie Boys,The new Style,0,0.0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0.0,1,New York,New York
42,1986,Licensed to Ill,Beastie Boys,time to get ill ,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,1.0,1,New York,New York
43,1986,Licensed to Ill,Beastie Boys,Rhymin & Stealin,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
44,1986,Licensed to Ill,Beastie Boys,She's Crafty,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
45,1986,Licensed to Ill,Beastie Boys,Posse In Effect,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
46,1986,Licensed to Ill,Beastie Boys,Slow Ride,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
47,1986,Licensed to Ill,Beastie Boys,Girls,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
48,1986,Licensed to Ill,Beastie Boys,Fight for your right,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
49,1986,Licensed to Ill,Beastie Boys,no sleep till brooklyn,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
50,1986,Licensed to Ill,Beastie Boys,paul revere,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
51,1986,Licensed to Ill,Beastie Boys,hold it now,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
52,1986,Licensed to Ill,Beastie Boys,brass monkey,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
53,1986,Licensed to Ill,Beastie Boys,slow and low ,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
54,1986,Raising Hell,Run DMC,Proud to Be Black,1,0.0,0,0.0,0.0,0,0,0.0,0,0,1,0,0,0.0,2,New York,New York
55,1986,Raising Hell,Run DMC,Peter Piper,0,0.0,0,0.0,0.0,0,0,1.0,0,0,1,0,0,0.0,2,New York,New York
56,1986,Raising Hell,Run DMC,Hit It Run,0,1.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,1,New York,New York
57,1986,Raising Hell,Run DMC,It's Tricky,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
58,1986,Raising Hell,Run DMC,My Adidas,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
59,1986,Raising Hell,Run DMC,Walk This Way,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
60,1986,Raising Hell,Run DMC,Is It Live,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
61,1986,Raising Hell,Run DMC,Perfection,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
62,1986,Raising Hell,Run DMC,Raising Hell,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
63,1986,Raising Hell,Run DMC,You Be Illin',0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
64,1986,Raising Hell,Run DMC,Dumb Girl,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
65,1986,Raising Hell,Run DMC,Son of Byford,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,New York,New York
66,1986,Born To Mack,Too $hort,dope fiend beat,6,3.0,35,0.0,4.0,2,5,0.0,0,1,0,0,0,1.0,57,Los Angeles,California
67,1986,Born To Mack,Too $hort,Playboy Short 2,6,2.0,10,1.0,6.0,0,2,0.0,0,0,0,0,0,2.0,29,Los Angeles,California
68,1986,Born To Mack,Too $hort,freaky tales,0,3.0,2,2.0,2.0,0,2,0.0,0,0,0,0,0,2.0,13,Los Angeles,California
69,1986,Born To Mack,Too $hort,Little girls,0,0.0,0,0.0,0.0,1,0,0.0,0,0,0,0,0,1.0,2,Los Angeles,California
70,1986,Born To Mack,Too $hort,You know what I mean,0,0.0,0,0.0,1.0,0,0,0.0,0,0,0,0,0,0.0,1,Los Angeles,California
71,1986,Born To Mack,Too $hort,Partytime,0,0.0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0.0,1,Los Angeles,California
72,1986,Born To Mack,Too $hort,mack attack,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,Los Angeles,California
73,1987,Criminal Minded,Boogie Down,The Broidge IS over,1,0.0,0,0.0,0.0,0,2,0.0,0,0,0,0,0,0.0,3,The Bronx,New York
74,1987,Criminal Minded,Boogie Down,Super Hoe Lyrics,0,0.0,0,0.0,1.0,0,0,0.0,0,0,0,0,0,0.0,1,The Bronx,New York
75,1987,Criminal Minded,Boogie Down,Criminal Minded,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,1.0,1,The Bronx,New York
